year,g4,econ_group,alpha_hat,alpha_e,alpha_manual,dem_mean,xb_mean,residual_mean,n_countries,group_key,econ_label,identity_gap,alpha_manual_gap,abs_identity_gap,abs_manual_gap,abs_residual_mean
1990,2,2,-.0796692404613477,-.0796692404613477,-.0796692404613478,.8589743461538462,.9386435866151939,-1.02482125350e-16,13,early_transition,较早转型组,0,-9.71445146547e-17,0,9.71445146547e-17,1.02482125350e-16
1995,2,2,-.1701903874584337,-.1701903874584337,-.1701903874584338,.7948717846153845,.9650621720738184,-8.54017711250e-18,13,early_transition,较早转型组,-2.22044604925e-16,-8.32667268469e-17,2.22044604925e-16,8.32667268469e-17,8.54017711250e-18
2000,2,2,-.1112806631887092,-.1112806631887092,-.1112806631887092,.8461538538461539,.9574345170348629,-2.56205313375e-17,13,early_transition,较早转型组,2.22044604925e-16,-6.93889390391e-17,2.22044604925e-16,6.93889390391e-17,2.56205313375e-17
1970,3,3,-.5713588441940689,-.5713588441940689,-.5713588441940689,.1666666730769231,.738025517270992,-1.36642833800e-16,26,low_democracy,低民主组,2.77555756156e-17,0,2.77555756156e-17,0,1.36642833800e-16
1975,3,3,-.5155068676641933,-.5155068676641933,-.5155068676641937,.1474359038461538,.6629427715103476,-7.89966382906e-17,26,low_democracy,低民主组,-4.99600361081e-16,-4.44089209850e-16,4.99600361081e-16,4.44089209850e-16,7.89966382906e-17
1980,3,3,-.4332526758888059,-.4332526758888059,-.4332526758888059,.2307692307692308,.6640219066580368,1.17427435297e-16,26,low_democracy,低民主组,-1.11022302463e-16,0,1.11022302463e-16,0,1.17427435297e-16
1985,3,3,-.494988364891635,-.494988364891635,-.4949883648916351,.2051282076923077,.7001165725839429,-1.23832568131e-16,26,low_democracy,低民主组,-1.66533453694e-16,-1.11022302463e-16,1.66533453694e-16,1.11022302463e-16,1.23832568131e-16
1990,3,3,-.4699779470322038,-.4699779470322038,-.4699779470322037,.2243589846153847,.6943369316475885,-7.89966382906e-17,26,low_democracy,低民主组,0,5.55111512313e-17,0,5.55111512313e-17,7.89966382906e-17
1995,3,3,-.5290120808759599,-.5290120808759599,-.5290120808759597,.1730769307692308,.7020890116451904,-5.76461955094e-17,26,low_democracy,低民主组,1.66533453694e-16,1.11022302463e-16,1.66533453694e-16,1.11022302463e-16,5.76461955094e-17
2000,3,3,-.4538679057950256,-.4538679057950256,-.4538679057950258,.2307692423076923,.6846371481027179,-3.41607084500e-17,26,low_democracy,低民主组,-2.77555756156e-17,-2.22044604925e-16,2.77555756156e-17,2.22044604925e-16,3.41607084500e-17
1970,4,4,-.4740647130814021,-.4740647130814021,-.4740647130814023,.2870370388888889,.761101751970291,-6.47630097698e-17,18,late_transition,较晚转型组,5.55111512313e-17,-2.22044604925e-16,5.55111512313e-17,2.22044604925e-16,6.47630097698e-17
1975,4,4,-.5463489261818635,-.5463489261818635,-.5463489261818633,.1574074055555555,.7037563317374188,6.16790569236e-18,18,late_transition,较晚转型组,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,6.16790569236e-18
1980,4,4,-.4189826250955253,-.4189826250955253,-.4189826250955251,.25,.6689826250955252,-5.24271983851e-17,18,late_transition,较晚转型组,5.55111512313e-17,1.66533453694e-16,5.55111512313e-17,1.66533453694e-16,5.24271983851e-17
1985,4,4,-.5147381485704787,-.5147381485704787,-.5147381485704787,.1851851833333333,.699923331903812,1.23358113847e-17,18,late_transition,较晚转型组,1.11022302463e-16,0,1.11022302463e-16,0,1.23358113847e-17
1990,4,4,-.3401661286717382,-.3401661286717382,-.3401661286717383,.3425926111111112,.6827587397828494,-1.20274161001e-16,18,late_transition,较晚转型组,0,-1.66533453694e-16,0,1.66533453694e-16,1.20274161001e-16
1995,4,4,-.0511121962213043,-.0511121962213043,-.0511121962213042,.6759259166666667,.7270381128879709,3.39234813080e-17,18,late_transition,较晚转型组,0,2.77555756156e-17,0,2.77555756156e-17,3.39234813080e-17
2000,4,4,-.0775739380541568,-.0775739380541568,-.0775739380541567,.7499999888888889,.8275739269430455,9.25185853854e-17,18,late_transition,较晚转型组,1.11022302463e-16,6.93889390391e-17,1.11022302463e-16,6.93889390391e-17,9.25185853854e-17
